Date,AMZN,BAC,F,AMGN,MSFT,GOOG,AAPL,JPM,WMT,TGT
2021-03-12,154.47450256347656,37.01308822631836,13.017664909362793,219.71926879882812,232.8076934814453,103.09600067138672,119.97174835205078,150.0581512451172,130.46737670898438,175.60670471191406
2021-03-15,154.08399963378906,36.82773208618164,12.852144241333008,225.0605926513672,231.87940979003906,103.32450103759766,122.90585327148438,149.30856323242188,129.79615783691406,176.67001342773438
2021-03-16,154.59300231933594,36.72041702270508,12.16085433959961,229.21923828125,234.7432403564453,104.6259994506836,124.4720458984375,147.5211181640625,129.7572479248047,175.8018035888672
2021-03-17,156.7864990234375,37.02284240722656,12.355584144592285,232.9867401123047,234.08157348632812,104.55400085449219,123.66914367675781,149.0394744873047,128.67747497558594,174.03607177734375
2021-03-18,151.39950561523438,37.9886589050293,12.16085433959961,233.12982177734375,227.84048461914062,101.81099700927734,119.47611236572266,151.49961853027344,126.99732971191406,175.21646118164062
2021-03-19,153.7480010986328,37.58867263793945,12.491894721984863,234.57960510253906,227.47508239746094,102.16000366210938,118.94082641601562,149.08753967285156,128.687255859375,182.96224975585938
2021-03-22,155.5435028076172,36.73992919921875,12.511366844177246,238.15638732910156,233.04469299316406,101.92949676513672,122.31110382080078,145.08023071289062,129.3026580810547,183.4402618408203
2021-03-23,156.875,35.99850082397461,11.888233184814453,233.72117614746094,234.61485290527344,102.64800262451172,121.46855163574219,143.62913513183594,130.83627319335938,184.29872131347656
2021-03-24,154.35350036621094,35.99850082397461,11.820077896118164,234.1313018798828,232.52133178710938,102.25299835205078,119.03996276855469,144.74388122558594,130.0255126953125,183.6743927001953
2021-03-25,152.31300354003906,36.73992919921875,11.995333671569824,234.8752899169922,229.44024658203125,102.21800231933594,119.53559112548828,146.5985870361328,130.90464782714844,187.9862823486328
2021-03-26,152.60150146484375,37.73501205444336,11.975862503051758,241.17996215820312,233.52857971191406,101.77749633789062,120.15017700195312,149.0394744873047,131.99868774414062,196.03445434570312
2021-03-29,153.7864990234375,37.374053955078125,11.829814910888672,243.18295288085938,232.30406188964844,102.79750061035156,120.3285903930664,146.72349548339844,133.50299072265625,193.36148071289062
2021-03-30,152.76449584960938,38.037437438964844,12.131646156311035,238.213623046875,228.95639038085938,102.7770004272461,118.85163116455078,148.4532928466797,132.59457397460938,194.7662353515625
2021-03-31,154.70399475097656,37.7447624206543,11.927179336547852,237.3170166015625,232.82745361328125,103.43150329589844,121.08194732666016,146.29104614257812,132.68246459960938,193.22491455078125
2021-04-01,158.0500030517578,38.52521896362305,11.849286079406738,237.66038513183594,239.32533264160156,106.88749694824219,121.92451477050781,147.7133331298828,132.47732543945312,195.81007385253906
2021-04-05,161.3365020751953,38.82764434814453,12.365320205688477,240.37876892089844,245.96145629882812,111.27749633789062,124.7991714477539,148.49630737304688,136.1990509033203,200.3268280029297
2021-04-06,161.1909942626953,38.72032928466797,12.579524040222168,237.59365844726562,244.7665557861328,111.23750305175781,125.1064453125,147.4523468017578,136.85353088378906,200.4048614501953
2021-04-07,163.96949768066406,39.07154083251953,12.394530296325684,236.6588897705078,246.7810821533203,112.48400115966797,126.78167724609375,149.76260375976562,136.5604705810547,199.44883728027344
2021-04-08,164.96499633789062,38.73008728027344,12.180327415466309,235.47618103027344,250.0892791748047,113.27200317382812,129.2201690673828,149.9462890625,136.47256469726562,198.4830780029297
2021-04-09,168.61000061035156,39.013004302978516,12.180327415466309,237.4505615234375,252.65682983398438,114.29399871826172,131.8370819091797,151.0675811767578,136.5409393310547,200.3365936279297
2021-04-12,168.96949768066406,39.081295013427734,12.053753852844238,237.44102478027344,252.71609497070312,112.739501953125,130.09246826171875,150.74859619140625,136.5604705810547,200.08294677734375
2021-04-13,170.0,38.359375,11.878498077392578,238.40435791015625,255.26390075683594,113.3635025024414,133.25457763671875,148.9506378173828,136.14044189453125,199.92684936523438
2021-04-14,166.64999389648438,38.90569305419922,11.91744327545166,238.089599609375,252.40005493164062,112.74199676513672,130.8755645751953,146.16668701171875,136.0915985107422,200.67803955078125
2021-04-15,168.95449829101562,37.79354476928711,11.91744327545166,243.34512329101562,256.26129150390625,114.83300018310547,133.323974609375,147.0946807861328,136.91212463378906,200.72679138183594
2021-04-16,169.9720001220703,38.19353103637695,11.907706260681152,243.8983154296875,257.48583984375,114.88800048828125,132.98695373535156,148.18698120117188,137.35171508789062,203.44854736328125
2021-04-19,168.60049438476562,38.213035583496094,11.790867805480957,244.1463165283203,255.51077270507812,115.12000274658203,133.66099548339844,147.5586700439453,136.47256469726562,203.5460968017578
2021-04-20,166.7344970703125,37.14967346191406,11.148262023925781,247.1698760986328,255.03675842285156,114.68150329589844,131.94613647460938,144.29139709472656,137.5275421142578,202.1998748779297
2021-04-21,168.1009979248047,37.77403259277344,11.420882225036621,246.82650756835938,257.32781982421875,114.66449737548828,132.3327178955078,145.51902770996094,137.9280242919922,201.71209716796875
2021-04-22,165.45199584960938,37.42282485961914,11.625348091125488,243.268798828125,253.9603729248047,113.39600372314453,130.78636169433594,142.45477294921875,136.4335174560547,200.5414581298828
2021-04-23,167.04400634765625,38.22279739379883,11.897969245910645,245.1573486328125,257.890625,115.76499938964844,133.14552307128906,145.18072509765625,136.65814208984375,200.97067260742188
2021-04-26,170.4499969482422,38.447174072265625,11.94665241241455,243.71710205078125,258.2856750488281,116.33699798583984,133.5420379638672,145.5383758544922,134.71429443359375,198.64889526367188
2021-04-27,170.8715057373047,38.90569305419922,12.16085433959961,243.34512329101562,258.7004089355469,115.35600280761719,133.21493530273438,146.2053680419922,135.1733856201172,199.36105346679688
2021-04-28,172.9250030517578,39.05202102661133,12.102437019348145,225.7759552001953,251.38291931152344,118.99549865722656,132.41200256347656,147.1526641845703,134.6947479248047,199.4586181640625
2021-04-29,173.5655059814453,40.10564041137695,10.963268280029297,223.8683624267578,249.35850524902344,121.49449920654297,132.31289672851562,150.01394653320312,136.39442443847656,202.3071746826172
2021-04-30,173.37100219726562,39.53981018066406,11.235888481140137,228.5706329345703,249.03262329101562,120.50599670410156,130.310546875,148.67996215820312,136.66793823242188,202.1901092529297
2021-05-03,169.32449340820312,39.56907653808594,11.323518753051758,234.04547119140625,248.7166290283203,119.75849914550781,131.38108825683594,148.24497985839844,138.82672119140625,206.11178588867188
2021-05-04,165.593505859375,39.998329162597656,11.109315872192383,235.93402099609375,244.69741821289062,117.7125015258789,126.73210906982422,150.2942657470703,137.45916748046875,206.4336700439453
2021-05-05,163.52699279785156,40.37880325317383,11.304043769836426,237.83209228515625,243.39389038085938,117.83699798583984,126.97993469238281,152.26625061035156,137.3419647216797,207.21412658691406
2021-05-06,165.31849670410156,40.9836540222168,11.430619239807129,239.69203186035156,246.6132049560547,119.06749725341797,128.6055908203125,155.3305206298828,138.32260131835938,207.78970336914062
2021-05-07,164.58050537109375,41.14950180053711,11.508511543273926,242.4676055908203,249.30914306640625,119.93450164794922,129.29074096679688,155.86216735839844,137.4890594482422,209.45787048339844
2021-05-10,159.52450561523438,41.022682189941406,11.401410102844238,240.95103454589844,244.0950164794922,117.08300018310547,125.95442962646484,155.84283447265625,138.09707641601562,208.79449462890625
2021-05-11,161.19549560546875,40.554405212402344,11.274835586547852,240.6458282470703,243.15689086914062,115.43800354003906,125.02108764648438,153.25221252441406,136.85162353515625,204.12167358398438
2021-05-12,157.5970001220703,40.17393493652344,11.031424522399902,239.2437286376953,236.01712036132812,111.9540023803711,121.90324401855469,152.19857788085938,133.31141662597656,197.9952850341797
2021-05-13,158.07350158691406,40.81781005859375,11.245626449584961,240.4264373779297,239.996826171875,113.09850311279297,124.08771514892578,156.11349487304688,135.56695556640625,203.507080078125
2021-05-14,161.14500427246094,41.32509994506836,11.527983665466309,241.45420837402344,245.05291748046875,115.80799865722656,126.55020141601562,158.53977966308594,136.8221893310547,205.9947052001953
2021-05-17,163.51950073242188,41.69581985473633,11.829814910888672,242.41470336914062,242.1199951171875,116.07050323486328,125.3785400390625,159.17776489257812,136.20437622070312,204.88259887695312
2021-05-18,161.61399841308594,41.12998962402344,11.820077896118164,240.95474243164062,240.04620361328125,115.17150115966797,123.96855926513672,156.93515014648438,139.16598510742188,202.0345458984375
2021-05-19,161.58999633789062,40.94463348388672,11.790867805480957,238.8127899169922,240.64007568359375,115.43550109863281,123.8096923828125,155.73648071289062,139.17579650878906,214.34669494628906
2021-05-20,162.38400268554688,40.847068786621094,12.16085433959961,241.9824981689453,243.9658203125,117.80449676513672,126.41118621826172,155.46583557128906,139.66610717773438,217.06748962402344
2021-05-21,160.1540069580078,41.3641242980957,12.978718757629395,241.0988006591797,242.66915893554688,117.25499725341797,124.5444564819336,157.23480224609375,139.0090789794922,220.29722595214844
2021-05-24,162.24949645996094,41.58850860595703,12.715834617614746,237.96754455566406,248.221923828125,120.33350372314453,126.20267486572266,158.08544921875,139.0188751220703,220.61041259765625
2021-05-25,162.95249938964844,40.9836540222168,12.47242259979248,232.44456481933594,249.15237426757812,120.45349884033203,126.00408172607422,156.45181274414062,139.58766174316406,220.5027618408203
